id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is asking for information about the status of their order.,True,improved,v2,,
t001,"Hey, placed an order for a blender 5 days back and the tracking still shows nothing. Where is it?",order_status,order_status,The customer is asking for information about the status of their order.,True,improved,v2,,
t002,"So I ordered a blender on Monday, supposedly it shipped, but the tracking page is dead. What's going on?",order_status,order_status,The customer is asking for information about the status of their order.,True,improved,v2,,
t003,My package was supposed to arrive yesterday but it's still not here. Order #44812.,order_status,order_status,The customer is inquiring about the status of their package that has not arrived.,True,improved,v2,,
t004,Order #44812 was due yesterday and hasn't shown up. Any update?,order_status,order_status,The customer is asking for an update on a late order.,True,improved,v2,,
t005,Where's my package? Was supposed to arrive yesterday — order #44812 if that helps.,order_status,order_status,The customer is asking for information about the status of their package.,True,improved,v2,,
t006,Tracking link in the email just spins forever. Order #88421.,order_status,other,"The customer is reporting an issue with the tracking link but is not asking for a specific action related to their order status, refund, or account.",False,improved,v2,,
t007,"Hey, the tracking link you emailed me for order 88421 doesn't load — just keeps spinning. Help?",order_status,order_status,"The customer is asking for help with a tracking link that is not loading, indicating an issue with the order status.",True,improved,v2,,
t008,Tracking URL is broken. Order 88421. Can you tell me where the package is?,order_status,order_status,The customer is asking for information about the location of their package.,True,improved,v2,,
t009,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,The customer is asking for information about their missing order.,True,improved,v2,,
t010,My order is marked delivered as of last Tuesday but it's nowhere to be found. Help.,order_status,order_status,The customer is asking for help finding their order that is marked as delivered but is missing.,True,improved,v2,,
t011,"Says delivered Tuesday — checked the porch, the neighbors, the mailroom. Nothing. What do I do?",order_status,order_status,The customer is asking for help finding their missing order.,True,improved,v2,,
t012,I never received my order and I want my money back.,refund_request,refund_request,The customer explicitly states they want their money back.,True,improved,v2,,
t013,I haven't received my order yet — please refund me.,refund_request,refund_request,The customer explicitly asked for a refund.,True,improved,v2,,
t014,Still no package. I want a refund.,refund_request,refund_request,The customer explicitly states they want a refund.,True,improved,v2,,
t015,Order shows delivered but I never got it. Refund please.,refund_request,refund_request,The customer explicitly asked for a refund.,True,improved,v2,,
t016,Package says delivered but I don't have it. I'd like a refund.,refund_request,refund_request,The customer explicitly asks for a refund due to the package not being received.,True,improved,v2,,
t017,"Marked as delivered, I never got it. Just refund me at this point.",refund_request,refund_request,The customer is explicitly asking for a refund.,True,improved,v2,,
t018,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,The customer is inquiring about the status of their order due to a delay.,True,improved,v2,,
t019,Promised 2-day delivery. Day nine. This is a joke.,order_status,order_status,The customer is expressing frustration about a delayed delivery without requesting a refund.,True,improved,v2,,
t020,You advertised 2-day shipping. Where is my order? It's been more than a week.,order_status,order_status,"The customer is asking for information about the status of their order, which is late.",True,improved,v2,,
t021,My item has been stuck in customs for 3 weeks. What can you do?,order_status,order_status,The customer is asking for help regarding the status of their item stuck in customs.,True,improved,v2,,
t022,Customs has been holding my order for three weeks. Any way to speed this up?,order_status,order_status,The customer is asking for assistance with a delayed order held by customs.,True,improved,v2,,
t023,It's been 21 days in customs. I need an update on when this will arrive.,order_status,order_status,The customer is asking for an update on the delivery status of their order.,True,improved,v2,,
t024,The carrier marked it delivered but it shows the wrong delivery address.,order_status,order_status,"The customer is inquiring about a delivery issue related to the address, not asking for a refund.",True,improved,v2,,
